City;State;US News Rank;Text;Overall Score;Quality of Life;Value
Austin;TX;1;People are drawn to the Texas capital's music, outdoor spaces and cultural institutions. Austin was established along the Colorado ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.6;7.3;6.7
Denver;CO;2;Founded in the mid-1800s as a mining hub during the gold rush, Denver has come a long way since its Wild West days. Over time, its ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.4;7.0;6.7
Colorado Springs;CO;3;Colorado Springs might not jump off the map as an economic or cultural hub the way larger metro areas like Denver do. But in a quie... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.4;7.0;6.6
Fayetteville;AR;4;Located in a region that's experiencing drastic growth, Fayetteville – together with Bentonville, Rogers and Springdale – has trans... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;7.5;8.2
Des Moines;IA;5;The capital of this so-called flyover state may not top your to-visit list, but Des Moines is a great place to live and raise a fam... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;7.0;8.4
Minneapolis;MN;6;Minneapolis and St. Paul not only have big-city amenities like museums and sports stadiums, but also have an approachable Midwester... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;7.1;7.7
San Francisco;CA;7;A beautiful region filled with iconic landmarks, independently owned businesses and trendsetting residents, San Francisco has long ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;6.8;4.9
Portland;OR;8;Portland's population toes the line between an innocent playfulness and a shameless wild side. Naked bicycle rides, a fully costume... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.2;6.7;6.0
Seattle;WA;9;To answer the question on many people's mind: "No, it doesn't rain all the time." Seattle gets less rain annually than Boston, New ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.2;6.6;5.9
Raleigh;NC;10;Raleigh, Durham and Chapel Hill are known for their research/technology roots and collegiate rivalries. This tri-city region (known... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.2;6.9;7.7
Huntsville;AL;11;Once a sleepy farming town, Huntsville gained national recognition during the Space Race of the 1960s and is now the fastest-growin... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;6.6;8.8
Madison;WI;12;Against a backdrop of high-tech businesses and acclaimed academic institutions, Madison, Wisconsin, exudes the casual, down-to-eart... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;7.5;6.9
Grand Rapids;MI;13;Grand Rapids has an affinity for public art, and its craft brewery scene is one of the best in the nation. A scenic spot perched on... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;7.6;8.1
